,허가번호,경도,위도,"주파수 대역
(MHz)",구분
1616,322022110006534,127.019533,127.175308,2600,기지국
1688,322023110041106,127.016233,127.175308,2600,기지국
1695,322023110041586,127.016383,127.175308,2600,기지국
1720,322025110014983,127.011219,127.175308,2600,기지국
1889,322014110004542,127.014247,127.175308,2600,기지국
1890,322014110005188,127.008497,127.175308,2600,기지국
1891,322014110005189,127.007572,127.175308,2600,기지국
1892,322014110005192,127.011925,127.175308,2600,기지국
1893,322014110005193,127.012028,127.175308,2600,기지국
1894,322014110005194,127.008689,127.175308,2600,기지국
1895,322014110005195,127.009583,127.175308,2600,기지국
1896,322014110005197,127.007528,127.175308,2600,기지국
1897,322014110005500,127.014808,127.175308,2600,기지국
1898,322014110005501,127.010047,127.175308,2600,기지국
1899,322014110005694,127.012472,127.175308,2600,기지국
1900,322014110005695,127.013714,127.175308,2600,기지국
1901,322014110005697,127.009886,127.175308,2600,기지국
1902,322014110005702,127.008233,127.175308,2600,기지국
1903,322014110005704,127.005503,127.175308,2600,기지국
1904,322014110006727,127.015825,127.175308,2600,기지국
1905,322014110006747,127.008333,127.175308,2600,기지국
1912,322014110023885,127.011925,127.175308,2600,기지국
1916,322014110032487,127.009533,127.175308,2600,기지국
1927,322014110042714,127.011144,127.175308,2600,기지국
1941,322014110066026,127.015267,127.175308,2600,기지국
1942,322014110068459,127.016225,127.175308,2600,기지국
1952,322015110005849,127.008944,127.175308,2600,기지국
1953,322015110005850,127.008944,127.175308,2600,기지국
1969,322015110028316,127.008944,127.175308,2600,기지국
1970,322015110038492,127.016036,127.175308,2600,기지국
1972,322015110044865,127.015186,127.175308,2600,기지국
1976,322015110054043,127.012061,127.175308,2600,기지국
1981,322015110058154,127.011347,127.175308,2600,기지국
1982,322015110058155,127.009442,127.175308,2600,기지국
1984,322015110064340,127.007161,127.175308,2600,기지국
1997,322016110005078,127.015658,127.175308,2600,기지국
2014,322016110037775,127.005967,127.175308,2600,기지국
2015,322016110041232,127.009886,127.175308,2600,기지국
2016,322016110041659,127.01395,127.175308,2600,기지국
2017,322016110043303,127.007889,127.175308,2600,기지국
2018,322016110043970,127.012028,127.175308,2600,기지국
2019,322016110043971,127.010719,127.175308,2600,기지국
2020,322016110043978,127.007572,127.175308,2600,기지국
2021,322016110043980,127.007161,127.175308,2600,기지국
2022,322016110043983,127.008497,127.175308,2600,기지국
2023,322016110043990,127.012472,127.175308,2600,기지국
2024,322016110043991,127.011925,127.175308,2600,기지국
2025,322016110043992,127.012128,127.175308,2600,기지국
2026,322016110043995,127.005967,127.175308,2600,기지국
2027,322016110044001,127.010658,127.175308,2600,기지국
2028,322016110044999,127.007881,127.175308,2600,기지국
2031,322016110047130,127.009439,127.175308,2600,기지국
2032,322016110047131,127.005967,127.175308,2600,기지국
2035,322016110049194,127.015828,127.175308,2600,기지국
2039,322016110051136,127.005503,127.175308,2600,기지국
2040,322016110051700,127.008689,127.175308,2600,기지국
2041,322016110051829,127.011925,127.175308,2600,기지국
2044,322016110056084,127.012831,127.175308,2600,기지국
2045,322016110057388,127.006808,127.175308,2600,기지국
2068,322016110080390,127.009283,127.175308,2600,기지국
2069,322016110080391,127.009283,127.175308,2600,기지국
2070,322016110080392,127.009283,127.175308,2600,기지국
2071,322016110080393,127.009283,127.175308,2600,기지국
2072,322016110080394,127.009283,127.175308,2600,기지국
2073,322016110080395,127.009283,127.175308,2600,기지국
2074,322016110080396,127.009283,127.175308,2600,기지국
2075,322016110080397,127.009283,127.175308,2600,기지국
2076,322016110080398,127.009283,127.175308,2600,기지국
2077,322016110080399,127.009283,127.175308,2600,기지국
2078,322016110080400,127.009283,127.175308,2600,기지국
2079,322016110080401,127.009283,127.175308,2600,기지국
2080,322016110080402,127.009283,127.175308,2600,기지국
2081,322016110080403,127.009283,127.175308,2600,기지국
2085,322016110085444,127.011386,127.175308,2600,기지국
2086,322016110085445,127.011386,127.175308,2600,기지국
2087,322016110085446,127.011386,127.175308,2600,기지국
2088,322016110085447,127.011386,127.175308,2600,기지국
2089,322016110085448,127.011386,127.175308,2600,기지국
2090,322016110085449,127.011386,127.175308,2600,기지국
2091,322016110085450,127.011386,127.175308,2600,기지국
2092,322016110085466,127.016064,127.175308,2600,기지국
2093,322016110085467,127.016064,127.175308,2600,기지국
2094,322016110085468,127.016064,127.175308,2600,기지국
2095,322016110085469,127.016064,127.175308,2600,기지국
2096,322016110085470,127.016064,127.175308,2600,기지국
2097,322016110085471,127.016064,127.175308,2600,기지국
2098,322016110085472,127.016064,127.175308,2600,기지국
2109,322017110009219,127.0063,127.175308,2600,기지국
2110,322017110011227,127.007528,127.175308,2600,기지국
2116,322017110027735,127.009606,127.175308,2600,기지국
2117,322017110027741,127.015942,127.175308,2600,기지국
2119,322017110028850,127.012958,127.175308,2600,기지국
2144,322017110051011,127.013833,127.175308,2600,기지국
2146,322018110010626,127.015919,127.175308,2600,기지국
2147,322018110013767,127.007028,127.175308,2600,기지국
2149,322018110025383,127.016064,127.175308,2600,기지국
2151,322018110035150,127.010339,127.175308,2600,기지국
2155,322018110040357,127.011372,127.175308,2600,기지국
2156,322018110040358,127.011372,127.175308,2600,기지국
2165,322018110047381,127.007817,127.175308,2600,기지국
2177,322018110066445,127.010892,127.175308,2600,기지국
2182,322018110066794,127.011144,127.175308,2600,기지국
2250,322019110079666,127.009533,127.175308,2600,기지국
2255,322019110088096,127.009533,127.175308,2600,기지국
2289,322020110068209,127.010722,127.175308,2600,기지국
2306,322021110037131,127.008078,127.175308,2600,기지국
2317,322022110004942,127.013553,127.175308,2600,기지국
2351,322023110020577,127.012825,127.175308,2600,기지국
2371,322025110014983,127.011219,127.175308,2600,기지국
3282,322014110005500,127.014808,127.175308,2600,기지국
3283,322014110005519,127.020947,127.175308,2600,기지국
3284,322014110006614,127.020931,127.175308,2600,기지국
3285,322014110006616,127.016528,127.175308,2600,기지국
3286,322014110006723,127.019014,127.175308,2600,기지국
3287,322014110006724,127.019228,127.175308,2600,기지국
3288,322014110006726,127.020478,127.175308,2600,기지국
3289,322014110006727,127.015825,127.175308,2600,기지국
3290,322014110007295,127.020672,127.175308,2600,기지국
3291,322014110007444,127.024461,127.175308,2600,기지국
3292,322014110007553,127.025342,127.175308,2600,기지국
3299,322014110030783,127.024086,127.175308,2600,기지국
3307,322014110042715,127.01665,127.175308,2600,기지국
3308,322014110042716,127.024086,127.175308,2600,기지국
3318,322014110066026,127.015267,127.175308,2600,기지국
3320,322014110068459,127.016225,127.175308,2600,기지국
3331,322015110001059,127.021861,127.175308,2600,기지국
3339,322015110019359,127.016717,127.175308,2600,기지국
3340,322015110023639,127.021447,127.175308,2600,기지국
3346,322015110038492,127.016036,127.175308,2600,기지국
3348,322015110041515,127.022897,127.175308,2600,기지국
3350,322015110058152,127.018767,127.175308,2600,기지국
3357,322015110071674,127.023661,127.175308,2600,기지국
3366,322016110002810,127.020253,127.175308,2600,기지국
3371,322016110005078,127.015658,127.175308,2600,기지국
3385,322016110012389,127.020167,127.175308,2600,기지국
3388,322016110035022,127.019153,127.175308,2600,기지국
3394,322016110041647,127.024461,127.175308,2600,기지국
3395,322016110041660,127.020931,127.175308,2600,기지국
3396,322016110043975,127.020139,127.175308,2600,기지국
3397,322016110044320,127.020772,127.175308,2600,기지국
3398,322016110045003,127.021803,127.175308,2600,기지국
3399,322016110045005,127.019069,127.175308,2600,기지국
3400,322016110049194,127.015828,127.175308,2600,기지국
3401,322016110050963,127.023592,127.175308,2600,기지국
3423,322016110082109,127.015986,127.175308,2600,기지국
3424,322016110082110,127.015986,127.175308,2600,기지국
3425,322016110082111,127.015986,127.175308,2600,기지국
3426,322016110082112,127.015986,127.175308,2600,기지국
3427,322016110082113,127.015986,127.175308,2600,기지국
3428,322016110082114,127.015986,127.175308,2600,기지국
3429,322016110082115,127.015986,127.175308,2600,기지국
3430,322016110082116,127.015986,127.175308,2600,기지국
3433,322016110084495,127.023592,127.175308,2600,기지국
3434,322016110084496,127.023592,127.175308,2600,기지국
3435,322016110085033,127.018778,127.175308,2600,기지국
3436,322016110085466,127.016064,127.175308,2600,기지국
3437,322016110085467,127.016064,127.175308,2600,기지국
3438,322016110085468,127.016064,127.175308,2600,기지국
3439,322016110085469,127.016064,127.175308,2600,기지국
3440,322016110085470,127.016064,127.175308,2600,기지국
3441,322016110085471,127.016064,127.175308,2600,기지국
3442,322016110085472,127.016064,127.175308,2600,기지국
3462,322017110003797,127.024564,127.175308,2600,기지국
3463,322017110003798,127.024564,127.175308,2600,기지국
3464,322017110003799,127.024564,127.175308,2600,기지국
3465,322017110003800,127.024564,127.175308,2600,기지국
3466,322017110003801,127.024564,127.175308,2600,기지국
3467,322017110003802,127.024564,127.175308,2600,기지국
3468,322017110003803,127.024564,127.175308,2600,기지국
3469,322017110003804,127.024564,127.175308,2600,기지국
3470,322017110003805,127.024564,127.175308,2600,기지국
3471,322017110004030,127.024339,127.175308,2600,기지국
3472,322017110004031,127.024339,127.175308,2600,기지국
3473,322017110004032,127.024339,127.175308,2600,기지국
3474,322017110004033,127.024339,127.175308,2600,기지국
3485,322017110020866,127.021203,127.175308,2600,기지국
3491,322017110025664,127.018497,127.175308,2600,기지국
3496,322017110027741,127.015942,127.175308,2600,기지국
3502,322017110030297,127.024086,127.175308,2600,기지국
3503,322017110030298,127.024086,127.175308,2600,기지국
3504,322017110030299,127.024086,127.175308,2600,기지국
3505,322017110030300,127.024086,127.175308,2600,기지국
3506,322017110032062,127.020053,127.175308,2600,기지국
3507,322017110034226,127.021925,127.175308,2600,기지국
3510,322017110034684,127.024786,127.175308,2600,기지국
3526,322017110039172,127.016233,127.175308,2600,기지국
3530,322017110041473,127.024086,127.175308,2600,기지국
3532,322017110045087,127.020672,127.175308,2600,기지국
3544,322018110010626,127.015919,127.175308,2600,기지국
3545,322018110019157,127.022375,127.175308,2600,기지국
3548,322018110025383,127.016064,127.175308,2600,기지국
3557,322018110031426,127.024806,127.175308,2600,기지국
3564,322018110033228,127.020672,127.175308,2600,기지국
3569,322018110047040,127.019014,127.175308,2600,기지국
3577,322018110059887,127.018117,127.175308,2600,기지국
3582,322018110068872,127.021447,127.175308,2600,기지국
3635,322019110073182,127.021819,127.175308,2600,기지국
3663,322020110018884,127.023081,127.175308,2600,기지국
3696,322020110047288,127.018078,127.175308,2600,기지국
